Inmuebles,Filial propietaria directa,Matriz,Sede empresa matriz,Sociedad intermedia utilizada,Sede sociedad utilizada,Tipo sociedad utilizada,Administración,Sector,Subsector,Fuente,Fuente 2,Fuente 3,Fuente 4,Fuente 5,Fuente 6
5435,AGENCIA DE L'HABITATGE DE CATALUNYA,Generalitat de Catalunya,España,Agencia de L'Habitatge de Catalunya,España,Empresas públicas o administraciones,CCAA,Parque público,NA,NA,NA,NA,NA,NA,NA
5044,INCASÒL,Generalitat de Catalunya,España,Incasol,España,Empresas públicas o administraciones,CCAA,Parque público,NA,NA,NA,NA,NA,NA,NA
4495,INSTITUT MUNICIPAL HABITATGE I REHAB. DE BARCELONA,Ajuntament de Barcelona,España,Institut Municipal de l'Habitatge i Rehabilitació de Barcelona,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA
2059,BUILDINGCENTER SAU,CaixaBank,España,CaixaBank,España,Empresa privada,NA,Entidades financieras,Banca,https://buildingcenter.es/es/home-es/,https://www.boe.es/borme/dias/2012/10/16/pdfs/BORME-A-2012-199-08.pdf,NA,NA,NA,NA
2045,SAREB SA,Sareb,España,Sareb,España,Empresas públicas o administraciones,Administración central,Entidades financieras,Sociedad de gestión de activos,NA,NA,NA,NA,NA,NA
1868,DIVARIAN PROPIEDAD SA,Cerberus,Estados Unidos,Promontoria Holding 208 BV,Países Bajos,Empresa privada,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2021/11/12/pdfs/BORME-A-2021-217-28.pdf,https://www.boe.es/borme/dias/2018/02/07/pdfs/BORME-A-2018-27-28.pdf,https://www.bbva.com/es/bbva-vende-a-su-socio-cerberus-el-20-de-divarian/,NA,NA,NA
1757,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,BBVA,España,BBVA,España,Empresa privada,NA,Entidades financieras,Banca,NA,NA,NA,NA,NA,NA
1667,VIVIENDA ASEQUIBLE ARRENDAMIENTO Y SERVICIOS SLU,CaixaBank,España,Criteria Caixacorp SA,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2021/08/04/pdfs/BORME-A-2021-148-08.pdf,https://www.boe.es/borme/dias/2021/08/04/pdfs/BORME-A-2021-148-08.pdf,https://www.boe.es/borme/dias/2018/08/02/pdfs/BORME-A-2018-148-08.pdf,https://www.criteriacaixa.com/,https://www.caixabank.com/StaticFiles/pdfs/110127_NP_Criteria_AcuerdoMarco_es.pdf,NA
1625,BANCO SABADELL SA,Banco Sabadell,España,Banco Sabadell,España,Empresa privada,NA,Entidades financieras,Banca,NA,NA,NA,NA,NA,NA
1602,"CEVASA, PATRIMONIO EN ALQUILER SL",Compañía Española de Viviendas en Alquiler SA (Cevasa),España,Cevasa Patrimonio en Alquiler SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.bolsasymercados.es/bme-exchange/docs/analisis/2023/04/32955_Analisis_20230404.pdf,https://quienmanda.es/organizations/compania-espanola-de-viviendas-en-alquiler,https://www.cnmv.es/portal/verDoc.axd?t={0e14d608-8b92-4d13-840b-fe6b941c0385},NA,NA,NA
1064,"BUDMAC INVESTMENTS II, S.L.,",Blackstone,Estados Unidos,Alcmena (REIT) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2019/05/24/pdfs/BORME-A-2019-97-08.pdf,http://www.albiranaproperties.com/,NA,NA,NA,NA
1027,"INMUEBLES EN RENTA, S.A.",Inmuebles en Renta SA,España,Inmuebles en Renta SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
1015,"VIMUSA, HABITATGES MUNICIPALS DE SABADELL S.A.",Ajuntament de Sabadell,España,Vimusa,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA
923,INDICESA L'ILLA SL,Indicesa L'Illa SL,España,Indicesa L'Illa SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
893,BCN HOUSING PLACE SL,Azora,España,Azzam Vivienda,España,Empresa privada,NA,Inmobiliaria,NA,https://www.azora.es/wp-content/uploads/2023/04/Grupo-Azora_Pol%C3%ADtica-de-Sostenibilidad.pdf,http://www.boe.es/borme/dias/2019/06/14/pdfs/BORME-A-2019-112-28.pdf,NA,NA,NA,NA
889,LIVINGCENTER ACTIVOS INMOBILIARIOS SAU,CaixaBank,España,Buildingcenter SAU,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2021/12/14/pdfs/BORME-A-2021-237-28.pdf,https://buildingcenter.es/es/home-es/,NA,NA,NA,NA
749,NESTAR RESIDENCIAL SII SA,CBRE,Estados Unidos,Nestar Residencial SII,España,Empresa privada,NA,Inmobiliaria,NA,https://www.azora.es/inversion-inmobiliaria/residencial/,https://nestarhomes.es/aviso-legal,https://www.boe.es/borme/dias/2019/06/14/pdfs/BORME-A-2019-112-28.pdf,https://www.cnmv.es/Portal/verGesDoc.axd?t={f7136115-8e63-48f8-aed7-58a0c192696e},https://www.azora.es/wp-content/uploads/2021/01/ESG-Report_Lazora-2019_EN.pdf,NA
745,SOCIETAT MUNICIPAL D'HABITATGE DE TERRASSA SA,Ajuntament de Terrassa,España,Societat Municipal d'Habitatge de Terrassa SA,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA
722,VIVENIO RESIDENCIAL SOCIMI SA,Renta Corporación,España,Renta Corporación Real Estate,España,Socimi,NA,Inmobiliaria,NA,https://www.rentacorporacion.com/es/vivenio-socimi/,https://www.boe.es/borme/dias/2017/06/15/pdfs/BORME-A-2017-112-28.pdf,NA,NA,NA,NA
693,SOCIETAT DE ARRENDAMENTS 2007 NN SLU,Núñez i Navarro,España,Edbalnu SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.nyn.es/es/sociedades,NA,NA,NA,NA,NA
636,ONIX RENTA SLU,Grupo Icyesa,España,Icyesa Cornellá SA,España,Empresa privada,NA,Inmobiliaria,NA,https://www.onixrenta.com/calidad,https://www.icyesa.com/,NA,NA,NA,NA
589,"SBD LLOGUER SOCIAL, SA",Compañía Española de Viviendas en Alquiler SA (Cevasa),España,SBD Lloguer Social,España,Empresa privada,NA,Inmobiliaria,NA,https://www.bolsasymercados.es/API/Market/RelevantFactsFiles/216/HS216618.PDF,NA,NA,NA,NA,NA
572,BUDMAC INVESTMENTS S.L.,Blackstone,Estados Unidos,Alcmena (REIT) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2018/02/14/pdfs/BORME-A-2018-32-08.pdf,http://www.albiranaproperties.com/,NA,NA,NA,NA
548,PROMOCIONES LLADERO SA,Goldman Sachs,Estados Unidos,Elq Holding (DEL) LLC,Delaware,Empresa privada,NA,Entidades financieras,Fondos de inversión,https://www.axa.es/documents/1119421/173317240/AXA+Business+Operations%2C+S.A.+%28CCAA+2021%29.pdf,https://www.boe.es/borme/dias/2015/12/17/pdfs/BORME-A-2015-240-08.pdf,https://www.boe.es/borme/dias/2022/03/31/pdfs/BORME-A-2022-63-08.pdf,https://www.sec.gov/Archives/edgar/data/886982/000119312516470289/d107036dex211.htm,NA,NA
508,SPM PROMOCIONS MUNICIPALS DE SANT CUGAT DEL VALLÈS,Ajuntament San Cugat del Vallés,España,Promusa,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,https://www.promusa.cat/avislegal/,NA,NA,NA,NA,NA
460,TESTA RESIDENCIAL SOCIMI SA,Blackstone,Estados Unidos,Tropic Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.cnmc.es/sites/default/files/2272271_5.pdf,https://www.boe.es/borme/dias/2019/07/15/pdfs/BORME-A-2019-133-28.pdf,NA,NA,NA,NA
426,FUNDACIO PRIVADA FOMENT DE L'HABITATGE SOCIAL,Fundació Habitatge Social,España,Fundació Habitatge Social,España,Fundaciones,NA,Fundaciones,NA,NA,NA,NA,NA,NA,NA
385,REGESA,Área Metropolitana de Barcelona,España,Regesa,España,Empresas públicas o administraciones,Metropolitana,Parque público,NA,http://www.regesa.cat/presentacio.php,NA,NA,NA,NA,NA
359,"ALCOTAS INMOBILIARIA,S.L.U",Grupo Corporativo Landon,España,Alcotas Inmobiliaria SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
322,BANCO SANTANDER SA,Banco Santander,España,Banco Santander,España,Empresa privada,NA,Entidades financieras,Banca,NA,NA,NA,NA,NA,NA
315,PROMONTORIA MACC MARINA RE SAU,Cerberus,Estados Unidos,Promontoria Marina Designated Activity Company,Irlanda,Empresa privada,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2022/03/01/pdfs/BORME-A-2022-41-28.pdf,https://www.boe.es/borme/dias/2022/06/24/pdfs/BORME-A-2022-120-28.pdf,NA,NA,NA,NA
315,"FAMÍLIA I BENESTAR SOCIAL, FUND. PRIVADA",Fundació Família i Benestar Social,España,Fundació Família i Benestar Social,España,Fundaciones,NA,Fundaciones,NA,NA,NA,NA,NA,NA,NA
314,AJUNTAMENT DE BARCELONA,Ajuntament de Barcelona,España,Ajuntament de Barcelona,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA
310,PROMONTORIA COLISEUM RESIDENTIAL SLU,Cerberus,Estados Unidos,Promontoria Holding 226 B.V.,Países Bajos,Empresa privada,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2020/01/28/pdfs/BORME-A-2020-18-08.pdf,https://www.boe.es/borme/dias/2018/10/01/pdfs/BORME-A-2018-189-28.pdf,NA,NA,NA,NA
300,FUNDACIÓ PRIVADA HOSPITAL DE LA SANTA CREU I SANT PAU,Fundación Privada Hospital de la Santa Creu i Sant Pau,España,Fundación Privada Hospital de la Santa Creu i Sant Pau,España,Fundaciones,NA,Fundaciones,NA,NA,NA,NA,NA,NA,NA
297,COLON VIVIENDAS S.I.I. SA,CBRE,Estados Unidos,Azora Capital,España,Empresa privada,NA,Inmobiliaria,NA,https://www.cnmv.es/Portal/Consultas/EE/DatosGenerales.aspx?nif=A86695483,https://www.azora.es/wp-content/uploads/2022/04/2021-Azora-Gesti%C3%B3n_Cuentas-Anuales.pdf,https://www.azora.es/wp-content/uploads/2021/01/ESG-Report_Lazora-2019_EN.pdf,NA,NA,NA
295,SAU CRITERIA CAIXA,CaixaBank,España,CaixaBank,España,Empresa privada,NA,Entidades financieras,Banca,NA,NA,NA,NA,NA,NA
274,VISOREN RENTA SAU,Visoren,España,Visoren,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2011/06/17/pdfs/BORME-A-2011-116-08.pdf,NA,NA,NA,NA,NA
270,INMOBILIARIA IRASA SA,Inmobiliaria Irasa SA,España,Inmobiliaria Irasa SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
257,PROMOCIONS URBANITIQUES DE MATARO SA,Ajuntament de Mataró,España,Pumsa,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,https://www.pumsa.cat/empresa/estructuraorganitzativa/,NA,NA,NA,NA,NA
256,SABADELL PATRIMONIO INMOBILIARIO SOCIMI SA,Banco Sabadell,España,Sabadell Patrimonio Inmobiliario,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2014/12/16/pdfs/BORME-A-2014-239-08.pdf,NA,NA,NA,NA,NA
252,CONSORCI DEL BARRI DE LA MINA,Generalitat de Catalunya,España,Consorci del Barri de la Mina,España,Empresas públicas o administraciones,CCAA,Parque público,NA,http://www.barrimina.cat/estatuts2008.pdf,NA,NA,NA,NA,NA
248,PAC SL,Pac SL,España,Pac SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
241,GESCAT VIVENDES EN COMERCIALITZACIO SL,BBVA,España,Gescat Vivendes en Comercialització SL,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2016/11/16/pdfs/BORME-A-2016-218-08.pdf,NA,NA,NA,NA,NA
240,"FOMENT DE LA REHABILITACIÓ URBANA DE MANRESA, S.A.",Ajuntament de Manresa,España,Forumsa,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,https://www.manresa.cat/web/menu/2988-forum-s-a-,NA,NA,NA,NA,NA
237,FUNDACIÓ PRIVADA NOU LLOC HABITATGE SOCIAL,Fundació Nou Lloc Habitatge Social,España,Fundació Nou Lloc Habitatge Social,España,Fundaciones,NA,Fundaciones,NA,https://fundacionoulloc.org/nosotros/,NA,NA,NA,NA,NA
234,"UNIÓN INMOBILIARIA, S.A.",Unión Inmobiliaria SA,España,Unión Inmobiliaria SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
232,GRAMEPARK SA,Ajuntament de Santa Coloma de Gramanet,España,Gramepark,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,https://www.gramenet.cat/es/ayuntamiento/areas-municipales/gramepark/empresa-municipal/,NA,NA,NA,NA,NA
224,INMOBILIARIA GALLARDO SL,Inmobiliaria Gallardo SL,España,Inmobiliaria Gallardo SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
203,CIA GRAL DE FOM INMOBILIARIO SL,Compañia General de Fomento Inmobiliario,España,Compañia general de fomento inmobiliario,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
200,SANTIVERI LLOGUER SLU,Llumifels SL,España,Santiveri Lloguer SL,España,Empresa privada,NA,Inmobiliaria,NA,https://civio.box.com/s/zxnckeqm08e4hj6gbag9wmqwasnfejnx,NA,NA,NA,NA,NA
199,SAGA S.L.,Saga SL,España,Saga SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
195,INMOBILIARIA SAJU SA,Inmobiliaria Saju SA,España,Inmobiliaria Saju SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
192,"UNIÓN DE CRÉDITOS INMOBILIARIOS,S.A.",Banco Santander,España,Banco Santander,España,Empresa privada,NA,Entidades financieras,Banca,https://www.uci.com/ficherosprotecciondatos/Estructura%20accionarial.pdf,NA,NA,NA,NA,NA
192,GRAUCLA SL,Graucla SL,España,Graucla SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
190,MARBORI SL,Marbori SL,España,Marbori SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
187,IMPSOL,Área Metropolitana de Barcelona,España,Impsol,España,Empresas públicas o administraciones,Metropolitana,Parque público,NA,https://www.amb.cat/s/es/web/habitatge/impsol.html,NA,NA,NA,NA,NA
177,FACERAS SLU,Faceras SL,España,Faceras SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
176,LANUSEI INVESTMENTS S.L.,Blackstone,Estados Unidos,Alcmena (REIT) Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2015/05/11/pdfs/BORME-A-2015-87-08.pdf,https://www.boe.es/borme/dias/2014/10/30/pdfs/BORME-A-2014-208-28.pdf,http://www.albiranaproperties.com/,NA,NA,NA
175,ADIF,AGE,España,Adif,España,Empresas públicas o administraciones,NA,Otros,NA,NA,NA,NA,NA,NA,NA
175,"COMPLEJO INMOBILIARIO, S.A.U.",Melga Finance SL,España,Melga Finance SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2017/04/10/pdfs/BORME-A-2017-69-08.pdf,NA,NA,NA,NA,NA
172,EDFICACIONES ADRIANO S.A.,Edificaciones Adriano SA,España,Edificaciones Adriano SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
171,INMOBILIARIA PUIGCARBO SA,Inmobiliaria Puigcarbo SA,España,Inmobiliaria Puigcarbo SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
170,"MONTSERRAT, S.L.",Montserrat SL,España,Montserrat SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
167,CONSTRUCCIONES INMOB.PETRARCA SL,Construcciones Inmobiliarias Petrarca SL,España,Construcciones Inmobiliarias Petrarca SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
166,BALMA SL,Balma SL,España,Balma SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
154,SABADELL REAL ESTATE DEVELOPMENT SL,Banco Sabadell,España,Sabadell Real Estate Development SL,España,Empresa privada,NA,Entidades financieras,Banca,https://www.bancsabadell.com/empresas_del_grupo/Sociedades+del+Grupo+Banco+Sabadell_2021.pdf,NA,NA,NA,NA,NA
153,APARCAMIENTOS DESPI SA,Ajuntament de Sant Joan Despí,España,Aparcamientos Despi SA,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,https://bop.diba.cat/anuncis/antic/022011024499,NA,NA,NA,NA,NA
152,INMOBILIARIA MEDITERRANIA DE VIVIENDAS EN ALQUILER,Inmobiliaria Mediterránea de Viviendas en Alquiler SL,España,Inmobiliaria Mediterránea de Viviendas en Alquiler SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
152,RIUCLA SL,Riucla SL,España,Riucla SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
152,SOL EDIFICAT PONENT SL,Sol Edificat Ponent SL,España,Sol Edificat Ponent SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
151,PROMONTORIA MACC RE SOCIMI SA,Cerberus,Estados Unidos,Promontoria Mahou Designated Activity Company,Irlanda,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2021/12/16/pdfs/BORME-A-2021-239-28.pdf,https://www.boe.es/borme/dias/2021/10/11/pdfs/BORME-A-2021-196-28.pdf,https://www.boe.es/borme/dias/2022/07/01/pdfs/BORME-A-2022-125-28.pdf,https://www.1x1socimi.es/Information%20Document%20MACC%201x1_Executed.pdf,NA,NA
149,CONSORCI SOCIOSANITARI D'IGUALADA,Ajuntament d'Igualada,España,Consorci Sociosanitari d'Igualada,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,https://www.seu-e.cat/documents/28021/7611660/Estatuts+del+Consorci+Sociosanitari+d%27Igualada/0ffe3b07-7ec4-4e74-a60a-42fc7872c20a,NA,NA,NA,NA,NA
149,VINAPE S L,Vinape SL,España,Vinape SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
145,YBN INVERSIONES SL,YBN Inversiones SL,España,YBN Inversiones SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
143,AJUNTAMENT DE L’HOSPITALET DE LLOBREGAT,Ajuntament de L'Hospitalet de Llobregat,España,Ajuntament de L'Hospitalet de Llobregat,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA
142,"ADVERO PROPERTIES SOCIMI, S.A",Adequita Capital Ltd,Reino Unido,Advero Properties Socimi,España,Socimi,NA,Entidades financieras,Fondos de inversión,https://adveroproperties.com/downloads/inversores/2019-11-06-DIIIM-Publicacion-definitiva.pdf,https://civio.box.com/s/lmlmbojmplocmr3562cyxase5xskfpg3,NA,NA,NA,NA
142,ALCROS SL,Alcros SL,España,Alcros SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
142,SARO 2015 SL,Saro 2015 SL,España,Saro 2015 SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
140,"GESTION DE PATRIMONIOS VALLS, S.L.",Gestión de Patrimonios Valls SL,España,Gestión de Patrimonios Valls SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
140,SEMISSIS SL,Semissis SL,España,Semissis SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
139,TEMPORE PROPERTIES SOCIMI SA,TPG,Estados Unidos,Tempore Holdings SCSp,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://temporeproperties.es/wp-content/uploads/2022/03/20220308-Tempore-OIR-Informacion-Financiera-2021.pdf,https://civio.box.com/s/m52onnxxk21031aqcftwyb7yl0lrsn74,https://civio.box.com/s/8lvvfqhwa7a2f3omwihq3ctvquv43vat,https://civio.box.com/s/e0i3oes24ifubq63757l68tvvlxnp6br,NA,NA
138,"CIA. GRAL. CONSTR. GUADALEST, S.L.",Compañia General de Construcciones Guadalest SL,España,Compañia General de Construcciones Guadalest SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
136,"LUGOBASI, S.L.",Lugobasi SL,España,Lugobasi SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
135,CARLANNA SL,Carlanna SL,España,Carlanna SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
